"","uid","pressTimes","trialStartTime","choice","coinsRunningTotal","trialEndTime","trialEffortPropMax1","pressCount","trialNo","trialEffort2","condition","choiceRT","trialReward2","effortTimeLimit","trialReward1","trialEffortPropMax2","trialEffort1","trialSuccess","meanPressLag","taskCond","intCond","studyStartTime","totalTimeJsPsych","nTrials","ID","deltaReward","deltaEffort","effortChosen","effortUnchosen","deltaEffortSigned","higherEffChosen","highEffortOption","rewardChosen","rewardUnchosen","higherRewChosen","highRewardOption","taskNo","group","maxPressCount"
"1","subREX_1","see raw data",206212,"route 1",0,236051,0.95,44,0,20,"baseline",8323,3,10000,7,0.35,55,0,199.418604651163,"rew-eff","psychoed","14:36:16",1305438,88,1,4,0.6,0.95,0.35,0.6,1,0.95,7,3,1,7,1,"psychoed",58
"2","subREX_1","see raw data",0,"route 1",7,1561293,0.95,55,0,20,"psychoed",427352,3,10000,7,0.35,55,1,161.581818181818,"rew-eff","psychoed","14:36:16",1305438,88,1,4,0.6,0.95,0.35,0.6,1,0.95,7,3,1,7,2,"psychoed",58
"3","subREX_1","see raw data",236051,"route 2",4,253825,0.95,45,1,44,"baseline",3601,4,10000,7,0.75,55,1,156.136363636364,"rew-eff","psychoed","14:36:16",1305438,88,1,3,0.2,0.75,0.95,-0.2,0,0.95,4,7,0,7,1,"psychoed",58
"4","subREX_1","see raw data",1561293,"route 1",14,1579265,0.95,56,1,44,"psychoed",1785,4,10000,7,0.75,55,1,158.854545454545,"rew-eff","psychoed","14:36:16",1305438,88,1,3,0.2,0.95,0.75,0.2,1,0.95,7,4,1,7,2,"psychoed",58
"5","subREX_1","see raw data",1579265,"route 2",20,1594588,0.2,32,2,32,"psychoed",2551,6,10000,4,0.55,12,1,175.354838709677,"rew-eff","psychoed","14:36:16",1305438,88,1,2,0.35,0.55,0.2,0.35,1,0.55,6,4,1,6,2,"psychoed",58
"6","subREX_1","see raw data",253825,"route 2",10,270348,0.2,32,2,32,"baseline",4569,6,10000,4,0.55,12,1,150.09375,"rew-eff","psychoed","14:36:16",1305438,88,1,2,0.35,0.55,0.2,0.35,1,0.55,6,4,1,6,1,"psychoed",58
"7","subREX_1","see raw data",270348,"route 2",14,283970,0.75,13,3,12,"baseline",4485,4,10000,5,0.2,44,1,152.692307692308,"rew-eff","psychoed","14:36:16",1305438,88,1,1,0.55,0.2,0.75,-0.55,0,0.75,4,5,0,5,1,"psychoed",58
"8","subREX_1","see raw data",1594588,"route 1",25,1611712,0.75,45,3,12,"psychoed",2333,4,10000,5,0.2,44,1,158.244444444444,"rew-eff","psychoed","14:36:16",1305438,88,1,1,0.55,0.75,0.2,0.55,1,0.75,5,4,1,5,2,"psychoed",58
"9","subREX_1","see raw data",283970,"route 1",19,300960,0.75,44,4,55,"baseline",3070,7,10000,5,0.95,44,1,153.477272727273,"rew-eff","psychoed","14:36:16",1305438,88,1,2,0.2,0.75,0.95,-0.2,0,0.95,5,7,0,7,1,"psychoed",58
"10","subREX_1","see raw data",1611712,"route 2",32,1630204,0.75,55,4,55,"psychoed",2201,7,10000,5,0.95,44,1,161.581818181818,"rew-eff","psychoed","14:36:16",1305438,88,1,2,0.2,0.95,0.75,0.2,1,0.95,7,5,1,7,2,"psychoed",58
