"","uid","block2answer","block3answer","block1answer","block0answer","interventionQuizAnswer","interventionReadingTime"
"1","subRE2_1",62,43,57,30,"C",19.4085666666667
"2","subRE2_2",52,19,75,95,"C",17.6722166666667
"3","subRE2_3",84,90,95,70,"C",65.5828333333333
"4","subRE2_4",60,65,60,60,"C",25.2878166666667
"5","subRE2_5",33,42,84,50,"C",15.48145
"6","subRE2_6",29,7,68,49,"C",17.1977
"7","subRE2_7",75,30,66,65,"C",31.1897333333333
"8","subRE2_8",42,48,53,76,"C",17.664
"9","subRE2_9",57,85,100,60,"C",31.0316166666667
"10","subRE2_10",42,69,42,40,"C",18.7567
"11","subRE2_11",45,59,35,30,"C",21.2648333333333
"12","subRE2_12",67,6,99,50,"C",16.5862333333333
"13","subRE2_13",82,51,95,76,"C",18.3848
"14","subRE2_14",30,10,75,10,"C",18.2164
"15","subRE2_15",11,10,10,20,"C",18.3490166666667
"16","subRE2_16",59,62,57,55,"C",21.1729833333333
"17","subRE2_17",67,69,65,65,"C",15.0740833333333
"18","subRE2_18",40,48,45,48,"C",20.4989
"19","subRE2_19",85,65,40,95,"C",23.88045
"20","subRE2_20",58,61,57,58,"C",24.25615
"21","subRE2_21",50,60,25,75,"C",33.2915166666667
"22","subRE2_22",49,73,76,44,"C",18.0806166666667
"23","subRE2_23",63,64,60,58,"C",15.0620166666667
"24","subRE2_24",62,41,85,64,"C",25.71435
"25","subRE2_25",49,57,47,45,"C",65.4866833333333
"26","subRE2_26",40,44,40,45,"C",18.6039333333333
"27","subRE2_27",67,69,65,65,"C",24.9683
"28","subRE2_28",45,46,47,46,"C",17.5897666666667
"29","subRE2_29",67,69,65,65,"C",22.27215
"30","subRE2_30",33,37,21,45,"C",15.9193666666667
"31","subRE2_31",67,69,65,60,"C",29.3207833333333
"32","subRE2_32",9,3,70,9,"C",21.7581833333333
"33","subRE2_33",50,58,45,40,"C",18.96485
"34","subRE2_34",81,66,81,71,"C",18.5978166666667
"35","subRE2_35",36,41,35,24,"C",15.6347333333333
"36","subRE2_36",63,56,60,61,"C",15.9368166666667
"37","subRE2_37",62,64,61,60,"C",17.95495
"38","subRE2_38",58,55,53,41,"C",13.6955333333333
"39","subRE2_39",67,69,65,65,"C",25.9273333333333
"40","subRE2_40",40,18,50,50,"C",17.9180833333333
"41","subRE2_41",46,48,50,56,"C",17.3445333333333
"42","subRE2_42",22,7,66,9,"C",18.2343666666667
"43","subRE2_43",56,75,41,42,"C",34.92675
"44","subRE2_44",75,50,95,75,"C",20.6548
"45","subRE2_45",50,48,44,48,"C",21.12475
"46","subRE2_46",31,26,46,60,"C",20.15695
"47","subRE2_47",67,69,65,65,"C",17.52615
"48","subRE2_48",50,50,55,50,"C",23.0558166666667
"49","subRE2_49",60,65,60,60,"C",20.36795
"50","subRE2_50",67,69,65,65,"D",51.4441166666667
"51","subRE2_51",85,83,20,80,"C",17.1655166666667
"52","subRE2_52",53,54,51,54,"C",18.8143666666667
"53","subRE2_53",51,55,55,60,"C",17.898
"54","subRE2_54",61,65,60,58,"C",19.4131166666667
"55","subRE2_55",36,36,32,32,"C",24.6385166666667
"56","subRE2_56",63,69,65,56,"C",26.21145
"57","subRE2_57",50,55,50,50,"C",22.8175166666667
"58","subRE2_58",60,55,64,70,"C",20.0506166666667
"59","subRE2_59",40,15,100,80,"C",18.7822833333333
"60","subRE2_60",63,65,62,62,"C",77.3761
"61","subRE2_61",65,53,70,65,"C",20.5416833333333
"62","subRE2_62",82,83,93,84,"C",22.07155
"63","subRE2_63",90,100,19,50,"C",22.2268
"64","subRE2_64",100,52,50,100,"C",25.2273833333333
"65","subRE2_65",67,69,65,65,"C",21.1610833333333
"66","subRE2_66",95,99,93,76,"C",17.2052833333333
"67","subRE2_67",80,42,51,73,"C",18.8165666666667
"68","subRE2_68",59,79,66,69,"C",19.04525
"69","subRE2_69",60,69,50,31,"C",36.3630333333333
"70","subRE2_70",26,28,71,8,"C",17.16045
"71","subRE2_71",75,75,90,60,"C",37.8928166666667
"72","subRE2_72",81,56,86,93,"C",272.2177
"73","subRE2_73",67,69,65,65,"C",17.255
"74","subRE2_74",30,27,70,20,"C",18.1529666666667
"75","subRE2_75",80,57,96,79,"C",18.3514166666667
"76","subRE2_76",61,62,60,60,"C",28.0901333333333
"77","subRE2_77",88,80,84,83,"C",25.81625
"78","subRE2_78",90,1,90,10,"C",34.9949166666667
"79","subRE2_79",66,69,60,50,"C",17.1829166666667
"80","subRE2_80",43,45,41,40,"C",20.7003833333333
"81","subRE2_81",34,4,86,40,"C",23.8466166666667
"82","subRE2_82",50,55,50,45,"C",14.8475166666667
"83","subRE2_83",36,100,81,11,"C",19.9117833333333
"84","subRE2_84",92,100,80,70,"C",19.7042
"85","subRE2_85",58,60,58,60,"C",35.4911666666667
"86","subRE2_86",33,15,74,61,"C",17.05465
"87","subRE2_87",94,93,80,99,"C",24.10945
"88","subRE2_88",93,94,67,72,"C",16.6153166666667
"89","subRE2_89",12,12,31,52,"C",25.4865166666667
"90","subRE2_90",100,100,50,85,"C",22.21425
"91","subRE2_91",60,65,60,55,"C",24.8265833333333
"92","subRE2_92",38,0,30,2,"C",18.0984833333333
"93","subRE2_93",71,83,63,90,"C",23.8068166666667
"94","subRE2_94",80,70,91,77,"A",25.5150166666667
"95","subRE2_95",57,55,55,60,"C",17.1155333333333
"96","subRE2_96",45,52,40,55,"C",24.1528166666667
"97","subRE2_97",100,48,80,95,"C",22.83765
"98","subRE2_98",67,69,65,65,"C",13.7015666666667
"99","subRE2_99",100,99,100,99,"C",21.4161333333333
"100","subRE2_100",67,69,65,65,"C",19.3751333333333
"101","subRE2_101",100,100,100,75,"C",19.74955
"102","subRE2_102",67,69,65,65,"C",17.24195
